Time Stamp,Time Zone,Limiting Facility,Facility PTID,Contingency,Constraint Cost($)
07/12/2024 02:00,EDT,SCH - PJ - NY,23316, BASE CASE,1.45
07/12/2024 03:00,EDT,SCH - PJ - NY,23316, BASE CASE,1.07
07/12/2024 04:00,EDT,SCH - PJ - NY,23316, BASE CASE,0.38
07/12/2024 17:00,EDT,SCH - NE - NY,23318, BASE CASE,-4.26
07/12/2024 18:00,EDT,SCH - NE - NY,23318, BASE CASE,-5.41
07/12/2024 19:00,EDT,SCH - NE - NY,23318, BASE CASE,-1.73
07/12/2024 20:00,EDT,SCH - NE - NY,23318, BASE CASE,-1.9
07/12/2024 11:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,0.98
07/12/2024 12:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,2.6
07/12/2024 13:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,3.39
07/12/2024 15:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,1.24
07/12/2024 16:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,0.79
07/12/2024 17:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,0.62
07/12/2024 18:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,1.23
07/12/2024 19:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,17.13
07/12/2024 20:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,10.51
07/12/2024 21:00,EDT,GOETHALS 345 GOWANUS  345 1,25139, BASE CASE,2.73
07/12/2024 06:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.02
07/12/2024 07:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.02
07/12/2024 08:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 09:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 10:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 11:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 13:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 14:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 15:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 16:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 17:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 18:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 19:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 20:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 21:00,EDT,ASTANNEX 345 E13THSTA 345 1,25142, BASE CASE,0.03
07/12/2024 00:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,0.14
07/12/2024 01:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,2.73
07/12/2024 02:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,1.82
07/12/2024 03:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,0.13
07/12/2024 05:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,1.36
07/12/2024 06:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,1.67
07/12/2024 07:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,4.48
07/12/2024 08:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,7.12
07/12/2024 09:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,11.28
07/12/2024 10:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,11.2
07/12/2024 11:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,0.14
07/12/2024 12:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,14.43
07/12/2024 13:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,13.93
07/12/2024 14:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,0.14
07/12/2024 15:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,28.97
07/12/2024 16:00,EDT,ALCOA    115 ALCOA_PA 115 1,25202, BASE CASE,30.86
07/12/2024 09:00,EDT,E179THST 138 HELLGATE 138 1,25288, BASE CASE,1.97
07/12/2024 10:00,EDT,E179THST 138 HELLGATE 138 1,25288, BASE CASE,1.79
07/12/2024 12:00,EDT,E179THST 138 HELLGATE 138 1,25288, BASE CASE,4.24
07/12/2024 13:00,EDT,E179THST 138 HELLGATE 138 1,25288, BASE CASE,3.8
07/12/2024 00:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,0.02
07/12/2024 01:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,0.02
07/12/2024 09:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,3.95
07/12/2024 10:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,3.58
07/12/2024 12:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,8.56
07/12/2024 13:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,7.64
07/12/2024 22:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,0.02
07/12/2024 23:00,EDT,RAINEY   138 VERNON   138 1,25297, BASE CASE,0.02
07/12/2024 14:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-20.79
07/12/2024 15:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-26.61
07/12/2024 16:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-61.74
07/12/2024 17:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-7.35
07/12/2024 18:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-17.48
07/12/2024 19:00,EDT,GREENWD  138 KENTAVE  138 1,25299, BASE CASE,-19.33
07/12/2024 08:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,0.02
07/12/2024 09:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,4.47
07/12/2024 10:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,23.97
07/12/2024 11:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,0.99
07/12/2024 12:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,62.25
07/12/2024 13:00,EDT,FRESHKLS 138 WILLWBRK 138 1,25320, BASE CASE,57.16
