"Timestamp","Lake Erie Circulation (MWH)"
"07/12/2024 00:00:00",-246.8
"07/12/2024 00:05:00",-319.4
"07/12/2024 00:10:00",-260.8
"07/12/2024 00:15:00",-312
"07/12/2024 00:20:00",-276.3
"07/12/2024 00:25:00",-306.8
"07/12/2024 00:30:00",-398.5
"07/12/2024 00:35:00",-363.4
"07/12/2024 00:40:00",-415.2
"07/12/2024 00:45:00",-211.7
"07/12/2024 00:50:00",-8.5
"07/12/2024 00:55:00",-42.8
"07/12/2024 01:00:00",-45.6
"07/12/2024 01:05:00",-65.6
"07/12/2024 01:10:00",27.2
"07/12/2024 01:15:00",97.4
"07/12/2024 01:20:00",71
"07/12/2024 01:25:00",60
"07/12/2024 01:30:00",26.8
"07/12/2024 01:35:00",147.9
"07/12/2024 01:40:00",65.5
"07/12/2024 01:45:00",116.8
"07/12/2024 01:50:00",213.2
"07/12/2024 01:55:00",224.8
"07/12/2024 02:00:00",189.5
"07/12/2024 02:05:00",206
"07/12/2024 02:10:00",222.2
"07/12/2024 02:15:00",186.7
"07/12/2024 02:20:00",82
"07/12/2024 02:25:00",155.2
"07/12/2024 02:30:00",215.4
"07/12/2024 02:35:00",225.2
"07/12/2024 02:40:00",183.2
"07/12/2024 02:45:00",146.4
"07/12/2024 02:50:00",132.4
"07/12/2024 02:55:00",70.8
"07/12/2024 03:00:00",-0.5
"07/12/2024 03:05:00",-3.3
"07/12/2024 03:10:00",1.6
"07/12/2024 03:15:00",77.8
"07/12/2024 03:20:00",66.8
"07/12/2024 03:25:00",13.9
"07/12/2024 03:30:00",19.9
"07/12/2024 03:35:00",-20.8
"07/12/2024 03:40:00",26
"07/12/2024 03:45:00",-18.8
"07/12/2024 03:50:00",43.2
"07/12/2024 03:55:00",87.6
"07/12/2024 04:00:00",146.5
"07/12/2024 04:05:00",135.4
"07/12/2024 04:10:00",118.4
"07/12/2024 04:15:00",194.8
"07/12/2024 04:20:00",1.8
"07/12/2024 04:25:00",58.8
"07/12/2024 04:30:00",52
"07/12/2024 04:35:00",47.6
"07/12/2024 04:40:00",17.2
"07/12/2024 04:45:00",19.2
"07/12/2024 04:50:00",57.6
"07/12/2024 04:55:00",8.8
"07/12/2024 05:00:00",13.7
"07/12/2024 05:05:00",-4.8
"07/12/2024 05:10:00",24.2
"07/12/2024 05:15:00",224.3
"07/12/2024 05:20:00",213.1
"07/12/2024 05:25:00",242.7
"07/12/2024 05:30:00",200.4
"07/12/2024 05:35:00",111.1
"07/12/2024 05:40:00",118.4
"07/12/2024 05:45:00",194.7
"07/12/2024 05:50:00",138.8
"07/12/2024 05:55:00",200.8
"07/12/2024 06:00:00",125.4
"07/12/2024 06:05:00",87.4
"07/12/2024 06:10:00",53.9
"07/12/2024 06:15:00",79.5
"07/12/2024 06:20:00",6.4
"07/12/2024 06:25:00",-160.1
"07/12/2024 06:30:00",-44.7
"07/12/2024 06:35:00",-4.2
"07/12/2024 06:40:00",94.6
"07/12/2024 06:45:00",56.3
"07/12/2024 06:50:00",83.4
"07/12/2024 06:55:00",128.5
"07/12/2024 07:00:00",-21.7
"07/12/2024 07:05:00",40.5
"07/12/2024 07:10:00",118
"07/12/2024 07:15:00",20.3
"07/12/2024 07:20:00",141.2
"07/12/2024 07:25:00",138.9
"07/12/2024 07:30:00",64.2
"07/12/2024 07:35:00",130.2
"07/12/2024 07:40:00",173.5
"07/12/2024 07:45:00",244.3
"07/12/2024 07:50:00",191
"07/12/2024 07:55:00",246.7
"07/12/2024 08:00:00",283.3
"07/12/2024 08:05:00",236.2
"07/12/2024 08:10:00",186.5
"07/12/2024 08:15:00",54.1
"07/12/2024 08:20:00",94.9
"07/12/2024 08:25:00",50.4
"07/12/2024 08:30:00",76.1
"07/12/2024 08:35:00",51.1
"07/12/2024 08:40:00",122.4
"07/12/2024 08:45:00",94
