Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
07/12/2024 00:00,CENTRAL EAST - VC,23330,1879.35,2860,-9999
07/12/2024 00:00,DYSINGER EAST,23326,652.65,3200,-9999
07/12/2024 00:00,MOSES SOUTH,23319,877.61,3000,-1600
07/12/2024 00:00,SCH - HQ - NY,23324,526,950,-750
07/12/2024 00:00,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,526,1310,-9999
07/12/2024 00:00,SCH - NE - NY,23318,-359.92,1400,-1600
07/12/2024 00:00,SCH - NPX_1385,325277,-25,200,-200
07/12/2024 00:00,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:00,SCH - OH - NY,23317,950.21,2000,-1600
07/12/2024 00:00,SCH - PJ - NY,23316,1145.74,2000,-1000
07/12/2024 00:00,SCH - PJM_HTP,325905,513,660,-660
07/12/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:00,SPR/DUN-SOUTH,23320,2513.23,4350,-9999
07/12/2024 00:00,TOTAL EAST,23314,3581.39,7550,-9999
07/12/2024 00:00,UPNY CONED,23315,3830.82,6005,-9999
07/12/2024 00:00,WEST CENTRAL,23312,82.73,9999,-9999
07/12/2024 00:05,CENTRAL EAST - VC,23330,1957.25,2860,-9999
07/12/2024 00:05,DYSINGER EAST,23326,662.86,3200,-9999
07/12/2024 00:05,MOSES SOUTH,23319,924.65,3000,-1600
07/12/2024 00:05,SCH - HQ - NY,23324,561,950,-750
07/12/2024 00:05,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,561,1310,-9999
07/12/2024 00:05,SCH - NE - NY,23318,-398.12,1400,-1600
07/12/2024 00:05,SCH - NPX_1385,325277,66,200,-200
07/12/2024 00:05,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:05,SCH - OH - NY,23317,939.36,2000,-1600
07/12/2024 00:05,SCH - PJ - NY,23316,1398.37,2000,-1000
07/12/2024 00:05,SCH - PJM_HTP,325905,527,660,-660
07/12/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:05,SPR/DUN-SOUTH,23320,2712.1,4350,-9999
07/12/2024 00:05,TOTAL EAST,23314,3859.14,7550,-9999
07/12/2024 00:05,UPNY CONED,23315,3987.13,6005,-9999
07/12/2024 00:05,WEST CENTRAL,23312,98.93,9999,-9999
07/12/2024 00:10,CENTRAL EAST - VC,23330,2027.49,2860,-9999
07/12/2024 00:10,DYSINGER EAST,23326,678.85,3200,-9999
07/12/2024 00:10,MOSES SOUTH,23319,972.45,3000,-1600
07/12/2024 00:10,SCH - HQ - NY,23324,561,950,-750
07/12/2024 00:10,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,561,1310,-9999
07/12/2024 00:10,SCH - NE - NY,23318,-398.98,1400,-1600
07/12/2024 00:10,SCH - NPX_1385,325277,66,200,-200
07/12/2024 00:10,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:10,SCH - OH - NY,23317,940.43,2000,-1600
07/12/2024 00:10,SCH - PJ - NY,23316,1398.1,2000,-1000
07/12/2024 00:10,SCH - PJM_HTP,325905,527,660,-660
07/12/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:10,SPR/DUN-SOUTH,23320,2782.7,4350,-9999
07/12/2024 00:10,TOTAL EAST,23314,3933.56,7550,-9999
07/12/2024 00:10,UPNY CONED,23315,4089.64,6300,-9999
07/12/2024 00:10,WEST CENTRAL,23312,123.06,9999,-9999
07/12/2024 00:15,CENTRAL EAST - VC,23330,2088.76,2860,-9999
07/12/2024 00:15,DYSINGER EAST,23326,718.97,3200,-9999
07/12/2024 00:15,MOSES SOUTH,23319,913,3000,-1600
07/12/2024 00:15,SCH - HQ - NY,23324,561,950,-750
07/12/2024 00:15,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,561,1310,-9999
07/12/2024 00:15,SCH - NE - NY,23318,-398.92,1400,-1600
07/12/2024 00:15,SCH - NPX_1385,325277,66,200,-200
07/12/2024 00:15,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:15,SCH - OH - NY,23317,939.14,2000,-1600
07/12/2024 00:15,SCH - PJ - NY,23316,1503.89,2000,-1000
07/12/2024 00:15,SCH - PJM_HTP,325905,527,660,-660
07/12/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:15,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:15,SPR/DUN-SOUTH,23320,2809.44,4350,-9999
07/12/2024 00:15,TOTAL EAST,23314,4026.98,7550,-9999
07/12/2024 00:15,UPNY CONED,23315,4148.41,6300,-9999
07/12/2024 00:15,WEST CENTRAL,23312,169.81,9999,-9999
07/12/2024 00:20,CENTRAL EAST - VC,23330,1945.58,2860,-9999
07/12/2024 00:20,DYSINGER EAST,23326,614.73,3200,-9999
07/12/2024 00:20,MOSES SOUTH,23319,923,3000,-1600
07/12/2024 00:20,SCH - HQ - NY,23324,561,950,-750
07/12/2024 00:20,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:20,SCH - HQ_IMPORT_EXPORT,325376,561,1310,-9999
07/12/2024 00:20,SCH - NE - NY,23318,-399.06,1400,-1600
07/12/2024 00:20,SCH - NPX_1385,325277,66,200,-200
07/12/2024 00:20,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:20,SCH - OH - NY,23317,939.88,2000,-1600
07/12/2024 00:20,SCH - PJ - NY,23316,1604.6,2000,-1000
07/12/2024 00:20,SCH - PJM_HTP,325905,527,660,-660
07/12/2024 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:20,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:20,SPR/DUN-SOUTH,23320,2743.34,4350,-9999
07/12/2024 00:20,TOTAL EAST,23314,4035.97,7550,-9999
07/12/2024 00:20,UPNY CONED,23315,4113.84,6300,-9999
07/12/2024 00:20,WEST CENTRAL,23312,70.96,9999,-9999
07/12/2024 00:25,CENTRAL EAST - VC,23330,2026.79,2860,-9999
07/12/2024 00:25,DYSINGER EAST,23326,620.63,3200,-9999
07/12/2024 00:25,MOSES SOUTH,23319,955.54,3000,-1600
07/12/2024 00:25,SCH - HQ - NY,23324,561,950,-750
07/12/2024 00:25,SCH - HQ_CEDARS,325274,190,190,0
07/12/2024 00:25,SCH - HQ_IMPORT_EXPORT,325376,561,1310,-9999
07/12/2024 00:25,SCH - NE - NY,23318,-398.91,1400,-1600
07/12/2024 00:25,SCH - NPX_1385,325277,66,200,-200
07/12/2024 00:25,SCH - NPX_CSC,325154,330,330,-330
07/12/2024 00:25,SCH - OH - NY,23317,939.88,2000,-1600
07/12/2024 00:25,SCH - PJ - NY,23316,1606.37,2000,-1000
07/12/2024 00:25,SCH - PJM_HTP,325905,527,660,-660
07/12/2024 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
07/12/2024 00:25,SCH - PJM_VFT,325658,315,315,-315
07/12/2024 00:25,SPR/DUN-SOUTH,23320,2777.06,4350,-9999
