Time Stamp,Time Zone,Fuel Category,Gen MW
07/12/2024 00:05:00,EDT,Dual Fuel,5955.0
07/12/2024 00:05:00,EDT,Natural Gas,4584.0
07/12/2024 00:05:00,EDT,Nuclear,3245.0
07/12/2024 00:05:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:05:00,EDT,Other Renewables,255.0
07/12/2024 00:05:00,EDT,Wind,146.0
07/12/2024 00:05:00,EDT,Hydro,2519.0
07/12/2024 00:10:00,EDT,Dual Fuel,5718.0
07/12/2024 00:10:00,EDT,Natural Gas,4531.0
07/12/2024 00:10:00,EDT,Nuclear,3244.0
07/12/2024 00:10:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:10:00,EDT,Other Renewables,255.0
07/12/2024 00:10:00,EDT,Wind,146.0
07/12/2024 00:10:00,EDT,Hydro,2480.0
07/12/2024 00:15:00,EDT,Dual Fuel,5526.0
07/12/2024 00:15:00,EDT,Natural Gas,4533.0
07/12/2024 00:15:00,EDT,Nuclear,3245.0
07/12/2024 00:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:15:00,EDT,Other Renewables,252.0
07/12/2024 00:15:00,EDT,Wind,144.0
07/12/2024 00:15:00,EDT,Hydro,2499.0
07/12/2024 00:20:00,EDT,Dual Fuel,5435.0
07/12/2024 00:20:00,EDT,Natural Gas,4508.0
07/12/2024 00:20:00,EDT,Nuclear,3245.0
07/12/2024 00:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:20:00,EDT,Other Renewables,251.0
07/12/2024 00:20:00,EDT,Wind,143.0
07/12/2024 00:20:00,EDT,Hydro,2501.0
07/12/2024 00:25:00,EDT,Dual Fuel,5322.0
07/12/2024 00:25:00,EDT,Natural Gas,4460.0
07/12/2024 00:25:00,EDT,Nuclear,3245.0
07/12/2024 00:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:25:00,EDT,Other Renewables,250.0
07/12/2024 00:25:00,EDT,Wind,142.0
07/12/2024 00:25:00,EDT,Hydro,2451.0
07/12/2024 00:30:00,EDT,Dual Fuel,5252.0
07/12/2024 00:30:00,EDT,Natural Gas,4412.0
07/12/2024 00:30:00,EDT,Nuclear,3246.0
07/12/2024 00:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:30:00,EDT,Other Renewables,249.0
07/12/2024 00:30:00,EDT,Wind,142.0
07/12/2024 00:30:00,EDT,Hydro,2437.0
07/12/2024 00:35:00,EDT,Dual Fuel,5222.0
07/12/2024 00:35:00,EDT,Natural Gas,4371.0
07/12/2024 00:35:00,EDT,Nuclear,3245.0
07/12/2024 00:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:35:00,EDT,Other Renewables,247.0
07/12/2024 00:35:00,EDT,Wind,143.0
07/12/2024 00:35:00,EDT,Hydro,2422.0
07/12/2024 00:40:00,EDT,Dual Fuel,5159.0
07/12/2024 00:40:00,EDT,Natural Gas,4372.0
07/12/2024 00:40:00,EDT,Nuclear,3246.0
07/12/2024 00:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:40:00,EDT,Other Renewables,241.0
07/12/2024 00:40:00,EDT,Wind,142.0
07/12/2024 00:40:00,EDT,Hydro,2380.0
07/12/2024 00:45:00,EDT,Dual Fuel,5080.0
07/12/2024 00:45:00,EDT,Natural Gas,4349.0
07/12/2024 00:45:00,EDT,Nuclear,3247.0
07/12/2024 00:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:45:00,EDT,Other Renewables,232.0
07/12/2024 00:45:00,EDT,Wind,141.0
07/12/2024 00:45:00,EDT,Hydro,2382.0
07/12/2024 00:50:00,EDT,Dual Fuel,5031.0
07/12/2024 00:50:00,EDT,Natural Gas,4310.0
07/12/2024 00:50:00,EDT,Nuclear,3246.0
07/12/2024 00:50:00,EDT,Other Fossil Fuels,8.0
07/12/2024 00:50:00,EDT,Other Renewables,235.0
07/12/2024 00:50:00,EDT,Wind,143.0
07/12/2024 00:50:00,EDT,Hydro,2415.0
07/12/2024 00:55:00,EDT,Dual Fuel,5011.0
07/12/2024 00:55:00,EDT,Natural Gas,4264.0
07/12/2024 00:55:00,EDT,Nuclear,3247.0
