l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,35656716,33108052,115000,6,line,60,-Moraga - San Leandro 115kV transmission line,,17616.0,,,,,Yes
2,35656716,540298861,115000,,line,,115 kV transmission line,PG&E,10609.0,,,,,
3,109355539,23805620,115000,6,line,60,,Pacific Gas & Electric Co.,32833.0,,,,,Yes
4,93288988,181914725,115000,6,line,60,,,54159.0,,,,,
5,32217118,405561526,115000,6,line,,,PG&E,40116.0,,,,,Yes
6,32217118,36966082,115000,3,line,,,PG&E,55547.0,,,,,
7,33111585,33111643,115000,6,line,,-Eastshore to Grant 115 kV transmission line,PG&E,6749.0,,,,,
8,33111585,540298861,115000,,line,,115 kV transmission line,PG&E,11941.0,,,,,
9,86463530,86463615,115000,6,line,,,PG&E,8664.0,,,,,Yes
10,86463530,86573554,115000,6,line,,,PG&E,29205.0,,,,,Yes
11,86463530,150562248,115000,6,line,,,PG&E,66109.0,,,,,Yes
12,407058988,32050965,115000,6,line,,,PG&E,58212.0,,,,,Yes
13,61659182,182604563,115000,6,line,60,,,31500.0,,,,,Yes
14,148273199,518058316,230000,6,line,,,SMUD,9159.0,0.08,0.32,11.5,1.3,Yes
15,148273199,28566617,230000,6,line,,,SMUD,10490.0,0.08,0.32,11.5,1.3,Yes
16,148273199,143937875,230000,6,line,,,SMUD,15187.0,0.08,0.32,11.5,1.3,Yes
17,93128755,622698793,115000,3,line,60,,,4288.0,,,,,
18,35732660,92107752,115000,6,line,,,,25465.0,,,,,
19,35732660,35763387,115000,6,line,,-Pittsburg - Clayton 115kV transmission line,,13375.0,,,,,Yes
20,35732660,35798740,115000,6,line,,,,16586.0,,,,,
21,33108052,112306422,115000,6,line,60,,,8133.0,,,,,Yes
22,119408726,119409662,115000,,line,,,Pacific Gas & Electric Co.,6970.0,,,,,
23,28566617,32526610,230000,6,line,,,SMUD,11301.0,0.08,0.32,11.5,1.3,Yes
24,28566617,143937875,115000,6,line,,,SMUD,5728.0,,,,,Yes
25,33111643,606222639,115000,3,line,,,Amazon,782.0,,,,,
26,33111643,59470569,115000,6,line,,Dumbarton 115 kV tap-Eastshore - Dumbarton 115 kV transmission line,PG&E,10786.0,,,,,
27,35763387,35763516,115000,6,line,,,Pacific Gas & Electric,8850.0,,,,,
28,86463615,91333377,115000,3,line,,,PG&E,17734.0,,,,,
29,86463615,36730100,115000,6,line,,,PG&E,46441.0,,,,,Yes
30,86463615,150562248,115000,6,line,,,PG&E,70047.0,,,,,Yes
31,86463615,86792689,115000,6,line,,,PG&E,44163.0,,,,,Yes
32,35660929,33106247,115000,3,line,,,,4456.0,,,,,
33,4630372,25793704,115000,,line,,-Ravenswood - Ames 115kV transmission line,,11335.0,,,,,
34,117401235,23805620,115000,6,line,60,-Metcalf - El Patio 115 kV transmission line,PG&E,23142.0,,,,,Yes
35,400341157,400340186,115000,3,line,,,,2368.0,,,,,
36,25793704,24294714,115000,,line,,Ravenswood - San Mateo 115kV transmission line,,19271.0,,,,,
37,25793704,48203963,115000,,line,,115kV transmission line,,2604.0,,,,,
38,98111153,32050965,230000,6,line,,,PG&E,33156.0,0.08,0.32,11.5,1.3,Yes
39,98111153,103099270,115000,6,line,,,PG&E,8077.0,,,,,Yes
40,98111153,125280729,115000,6,line,,,,18194.0,,,,,Yes
41,32794290,32050965,115000,6,line,,,,9273.0,,,,,Yes
42,23805620,119409662,115000,6,line,60,-Piercy - Metcalf 115 kV transmission line,,7586.0,,,,,Yes
43,23805620,38653255,115000,6,line,60,,,17112.0,,,,,Yes
44,120342208,28875096,115000,,line,,115kV,,7532.0,,,,,
45,181630666,181457842,115000,6,line,,,PG&E,91006.0,,,,,Yes
46,43951315,33106247,115000,3,line,,,Pacific Gas & Electric,8571.0,,,,,
47,35798740,613151166,115000,6,line,,,,2909.0,,,,,Yes
48,42637019,24397698,115000,6,line,,,PG&E,25406.0,,,,,Yes
