n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
35656716,-122.148604674,37.7105437094,substation,115000;12000,,San Leandro U Substation,Pacific Gas & Electric,
33108052,-122.161080377,37.847902318,substation,230000;115000;13200;12000,,Moraga Substation,Pacific Gas & Electric,
540298861,-122.214407944,37.7629913023,substation,115000;12000;7200,,Oakland J Substation,Pacific Gas & Electric,
109355539,-121.557308352,37.0072676514,substation,0,,,,
23805620,-121.744163902,37.2255769192,substation,0,,Metcalf Substation,Pacific Gas & Electric Co.,
93288988,-120.581687506,36.6534263077,substation,0,,Panoche Substation,Pacific Gas & Electric,
181914725,-120.138562721,36.4020759835,substation,0,,,,
32217118,-121.40778007,38.5481862484,substation,0,,Brighton Substation,,
405561526,-121.590355735,38.2315710805,substation,0,,Grand Island Substation,,
36966082,-121.796801685,38.2764909383,substation,0,,,,
33111585,-122.159555713,37.6714137023,substation,0,,Grant Substation,,
33111643,-122.117131395,37.6248092963,substation,0,,Eastshore Substation,PG&E,
86463530,-121.542483457,38.9097339789,substation,0,,East Nicolaus Substation,PG&E,
86463615,-121.466792378,38.9351996724,substation,230000;115000,,Rio Oso Substation,PG&E,
86573554,-121.623973676,39.0959064739,substation,0,,,PG&E,
150562248,-121.517795662,39.45417422,substation,0,,,,
407058988,-121.024541847,38.2268745276,substation,0,,,,
32050965,-121.136832824,38.657557426,substation,0,,Gold Hill Substation,PG&E,
61659182,-119.818746535,36.7183177589,substation,0,,,,
182604563,-119.639366677,36.6106630919,substation,0,,McCall Substation,Pacific Gas & Electric,
148273199,-121.430629955,38.5538059232,substation,0,,East City Substation,,
518058316,-121.355314137,38.5085913845,substation,0,,Hedge Substation,Sacramento Municipal Utility District (SMUD),
28566617,-121.417996374,38.5872858892,substation,0,,Hurley Substation,SMUD,
143937875,-121.474254992,38.5880637998,substation,0,,North City Substation,SMUD,
93128755,-122.264880112,40.3977111438,substation,0,,Cottonwood Substation,Pacific Gas & Electric Co.,
622698793,-122.269036732,40.4327524364,substation,0,,,,
35732660,-121.895826576,38.036782621,substation,0,,,,
92107752,-122.116205586,38.0153515168,substation,0,,,,
35763387,-121.969346976,37.9442547604,substation,115000;21000;12000;7200,,Clayton Substation,Pacific Gas & Electric,
35798740,-121.782613976,37.9993091061,substation,0,,Contra Costa Substation,,
112306422,-122.231275422,37.8053743535,substation,115000;12000;7200,,Oakland X Substation,Pacific Gas & Electric,
119408726,-121.797023203,37.3224781123,substation,0,,,Pacific Gas & Electric Co.,
119409662,-121.787315583,37.2689593588,substation,0,,Piercy Substation,,
32526610,-121.486385741,38.6503019094,substation,0,,Natomas Substation,,
606222639,-122.10972074,37.6270594743,substation,115000,,Cerberus Substation,Amazon,
59470569,-122.057872894,37.5570682132,substation,0,,Dumbarton Substation,PG&E,
35763516,-122.057360231,37.9086503906,substation,115000;21000;12000;7200,,Lakewood Substation,Pacific Gas & Electric,
91333377,-121.294143769,38.9005353768,substation,0,,Lincoln Substation,Pacific Gas & Electric,
36730100,-121.760049625,38.6784924772,substation,115000,,Woodland Substation,PG&E,
86792689,-121.661203255,39.1699712165,substation,0,,Pease Substation,PG&E,
35660929,-122.187035666,37.8759811318,substation,115000;34500,,East Portal Substation,,
33106247,-122.208330032,37.905469821,substation,230000;115000;12000;7200,,Sobrante Substation,Pacific Gas & Electric,
4630372,-122.06712186,37.4178658449,substation,115000,,Ames Substation,PG&E,
25793704,-122.137852273,37.4928723354,substation,0,,Ravenswood Substation,,
